t,reproj_rms_px,reproj_feats
76.1975,2.59266,1
76.2642,2.59266,1
76.3309,2.59266,1
76.3977,2.59266,1
76.4644,2.59266,1
76.5311,2.59266,1
76.5979,2.59266,1
76.6646,2.59266,1
76.7313,2.59266,1
76.7981,2.59266,1
76.8648,2.59266,1
76.9315,9.58566,1
76.9983,9.58566,1
77.065,9.58566,1
77.1317,9.58566,1
77.1985,9.58566,1
77.2652,9.58566,1
77.3319,9.58566,1
77.3987,9.58566,1
77.4654,9.58566,1
77.5321,9.58566,1
77.5989,9.58566,1
77.6656,9.58566,1
77.7323,9.58566,1
77.7991,3.94275,0
77.8658,3.94275,0
77.9325,3.94275,0
77.9993,0.979698,0
78.066,0.979698,0
78.1327,0.979698,0
78.1995,0.979698,0
78.2662,0.979698,0
78.3329,0.979698,0
78.3997,0.979698,0
78.4664,0.979698,0
78.5331,0.979698,0
78.5999,0.979698,0
78.6666,0.979698,0
78.7333,0.979698,0
78.8001,0.979698,0
78.8668,0.979698,0
78.9335,0.979698,0
79.0003,0.979698,0
79.067,0.979698,0
79.1337,0.979698,0
79.2005,0.979698,0
79.2672,0.979698,0
79.3339,0.979698,0
79.4007,0.979698,0
79.4674,0.979698,0
79.5341,0.979698,0
79.6009,0.979698,0
79.6676,0.979698,0
79.7343,0.979698,0
79.8011,0.979698,0
79.8678,0.979698,0
79.9345,0.979698,0
80.0013,0.979698,0
80.068,0.979698,0
80.1347,0.979698,0
80.2015,0.979698,0
80.2682,0.979698,0
80.3349,0.979698,0
80.4017,0.979698,0
80.4684,0.979698,0
80.5351,0.979698,0
80.6019,0.979698,0
80.6686,0.979698,0
80.7353,0.979698,0
80.8021,0.979698,0
80.8688,0.979698,0
80.9355,0.979698,0
81.0023,0.979698,0
81.069,0.979698,0
81.1357,0.979698,0
81.2025,0.979698,0
81.2692,0.979698,0
81.3359,0.979698,0
81.4027,0.979698,0
81.4694,0.979698,0
81.5361,0.979698,0
81.6029,0.979698,0
81.6696,0.979698,0
81.7363,0.979698,0
81.8031,0.979698,0
81.8698,0.979698,0
81.9365,0.979698,0
82.0033,0.979698,0
82.07,0.979698,0
82.1367,0.979698,0
82.2035,0.979698,0
82.2702,0.979698,0
82.3369,0.979698,0
82.4037,1.87635,1
82.4704,1.87635,1
82.5371,1.87635,1
82.6039,1.87635,1
82.6706,1.87635,1
82.7373,1.87635,1
82.8041,1.87635,1
82.8708,1.87635,1
82.9375,1.87635,1
83.0043,3.72939,4
83.071,3.72939,4
83.1377,3.72939,4
83.2045,3.72939,4
83.2712,3.72939,4
83.3379,3.72939,4
83.4047,3.72939,4
83.4714,3.72939,4
83.5381,3.72939,4
83.6049,3.72939,4
83.6716,3.72939,4
83.7383,3.72939,4
83.8051,3.72939,4
83.8718,3.72939,4
83.9385,3.72939,4
84.0053,3.72939,4
84.072,3.72939,4
84.1387,3.72939,4
84.2055,3.72939,4
84.2722,3.72939,4
84.3389,3.72939,4
84.4057,3.72939,4
84.4724,3.72939,4
84.5391,3.72939,4
84.6059,3.72939,4
84.6726,3.72939,4
84.7393,2.62377,1
84.8061,2.62377,1
84.8728,2.62377,1
84.9395,2.62377,1
85.0063,1.28798,0
85.073,1.28798,0
85.1397,1.28798,0
