t,reproj_rms_px,reproj_feats
70.058,10.148,35
70.1247,13.2845,38
70.1915,11.3356,126
70.2582,10.9577,75
70.3249,9.19057,38
70.3917,10.8574,70
70.4584,7.55982,31
70.5251,11.0498,16
70.5919,7.00819,33
70.6586,10.4395,1
70.7253,5.95514,4
70.7921,5.26068,13
70.8588,3.14584,22
70.9255,4.75949,19
70.9923,2.68358,18
71.059,6.15755,9
71.1257,5.28103,25
71.1925,4.01281,23
71.2592,3.731,9
71.3259,4.57286,40
71.3927,3.66154,27
71.4594,6.1579,12
71.5261,5.87169,88
71.5929,3.05135,70
71.6596,3.13674,65
71.7263,4.02603,56
71.7931,3.0387,44
71.8598,4.83201,22
71.9265,3.50013,23
71.9933,3.09646,9
72.06,2.60072,45
72.1267,1.5009,6
72.1935,3.06975,15
72.2602,2.56583,17
72.3269,3.22994,36
72.3937,5.50563,3
72.4604,2.70491,5
72.5271,3.91045,7
72.5939,3.31143,12
72.6606,1.59225,2
72.7273,3.37849,23
72.7941,0.795746,1
72.8608,3.58595,19
72.9275,5.62461,47
72.9943,4.05277,36
73.061,5.97646,16
73.1277,5.06104,59
73.1945,5.22816,36
73.2612,3.24551,53
73.3279,3.50112,32
73.3947,5.05945,24
73.4614,4.12841,6
73.5281,2.36589,5
73.5949,4.12178,2
73.6616,2.1189,6
73.7283,2.99743,9
73.7951,3.74793,5
73.8618,6.0418,47
73.9285,2.85287,14
73.9953,2.62189,21
74.062,4.1014,11
74.1287,5.34839,50
74.1955,4.07576,32
74.2622,2.97006,94
74.3289,4.37991,98
74.3957,3.67595,91
74.4624,3.13239,69
74.5291,2.01214,4
74.5959,2.60443,41
74.6626,2.67869,5
74.7293,4.1318,13
74.7961,2.87591,105
74.8628,3.16186,13
74.9295,3.1832,8
74.9963,0.927257,8
75.063,1.74044,7
75.1297,2.66195,6
75.1965,2.88072,37
75.2632,2.43599,3
75.3299,2.49329,8
75.3967,2.77295,21
75.4634,1.98779,18
75.5301,4.10248,5
75.5969,3.92533,31
75.6636,3.69273,10
75.7303,2.13399,45
75.7971,3.57013,20
75.8638,1.49133,3
75.9305,2.82063,23
75.9973,3.98274,16
76.064,3.1093,47
76.1307,6.19418,32
76.1975,4.55525,36
76.2642,6.78317,22
76.3309,5.38071,40
76.3977,7.52921,44
76.4644,4.94351,37
76.5311,5.14553,58
76.5979,7.72362,50
76.6646,10.6381,17
76.7313,7.22938,12
76.7981,6.25446,41
76.8648,4.1775,52
76.9315,4.95426,8
76.9983,3.94497,16
77.065,5.99054,40
77.1317,3.58428,22
77.1985,3.12931,18
77.2652,2.89467,24
77.3319,1.76323,7
77.3987,2.77454,32
77.4654,2.56008,7
77.5321,3.42602,17
77.5989,3.05399,12
77.6656,3.06375,34
77.7323,4.31822,12
77.7991,2.74268,6
77.8658,3.15188,13
77.9325,3.59348,9
77.9993,3.3041,81
78.066,3.47667,39
78.1327,2.86101,17
78.1995,3.0553,40
78.2662,3.33085,47
78.3329,2.97001,12
78.3997,2.82948,6
78.4664,2.75213,10
78.5331,3.95164,12
78.5999,3.99071,21
78.6666,3.48123,23
78.7333,3.48123,23
78.8001,3.36416,35
78.8668,0.669171,0
78.9335,0.669171,0
79.0003,3.47832,32
79.067,1.77212,9
79.1337,3.99737,28
79.2005,3.30127,18
79.2672,3.96716,12
79.3339,2.6769,38
79.4007,4.34513,42
79.4674,3.80552,27
79.5341,2.53322,14
79.6009,6.19754,45
79.6676,5.51003,40
79.7343,3.83075,25
79.8011,3.91267,6
79.8678,9.66696,11
79.9345,10.0675,32
80.0013,8.29196,23
80.068,6.17089,29
80.1347,7.35189,46
80.2015,7.54438,33
80.2682,5.79255,41
80.3349,4.38877,18
80.4017,3.54833,12
80.4684,4.40226,58
80.5351,5.14858,46
80.6019,6.00484,15
80.6686,4.93857,37
80.7353,4.08318,23
80.8021,3.90285,27
80.8688,3.54408,9
80.9355,3.10825,12
81.0023,3.89766,23
81.069,1.56779,7
81.1357,1.9397,9
81.2025,3.11562,17
81.2692,1.12721,3
81.3359,2.97966,37
81.4027,3.19829,57
81.4694,2.21902,18
81.5361,3.6927,44
81.6029,3.18549,16
81.6696,3.33018,38
81.7363,2.06451,17
81.8031,4.11234,9
81.8698,2.76855,10
81.9365,3.40356,9
82.0033,3.52599,13
82.07,1.58421,0
82.1367,1.57845,3
82.2035,2.45531,14
82.2702,3.04753,9
82.3369,3.18387,25
82.4037,2.84965,5
82.4704,3.22851,40
82.5371,3.45931,35
82.6039,3.61949,58
82.6706,3.61949,58
82.7373,3.67402,3
82.8041,3.33283,5
82.8708,2.93082,20
82.9375,2.93082,20
83.0043,2.32883,11
83.071,2.80481,9
83.1377,3.55035,6
83.2045,2.27732,3
83.2712,2.0822,12
83.3379,3.74181,44
83.4047,2.5316,4
83.4714,1.90413,6
83.5381,2.40271,7
83.6049,3.09212,31
83.6716,2.07261,9
83.7383,2.65183,17
83.8051,2.8109,8
83.8718,2.4264,21
83.9385,4.00265,54
84.0053,2.49727,5
84.072,3.33242,20
84.1387,2.96017,5
84.2055,2.46714,2
