t,reproj_rms_px,reproj_feats
47.035,7.21245,4
47.1017,7.2878,24
47.1685,2.86632,12
47.2352,2.38539,9
47.3019,4.56468,9
47.3687,5.20026,22
47.4354,2.36231,4
47.5021,4.54643,31
47.5689,2.90287,1
47.6356,5.03665,32
47.7023,8.45173,2
47.7691,4.97577,8
47.8358,8.45133,26
47.9025,4.5984,23
47.9693,5.25641,25
48.036,6.36209,82
48.1027,5.51184,68
48.1695,5.92374,19
48.2362,1.33843,3
48.3029,2.8982,4
48.3697,5.08078,41
48.4364,3.38941,8
48.5031,1.80551,21
48.5699,4.93844,27
48.6366,3.63836,62
48.7033,4.34984,29
48.7701,2.42155,12
48.8368,1.74459,3
48.9035,1.96306,15
48.9703,5.46999,37
49.037,4.97552,36
49.1037,3.26925,37
49.1705,2.67711,13
49.2372,3.74398,17
49.3039,4.43615,15
49.3707,4.17119,46
49.4374,3.35633,32
49.5041,3.42571,41
49.5709,3.03276,15
49.6376,2.29826,4
49.7043,3.20373,8
49.7711,2.56807,9
49.8378,2.61053,13
49.9045,2.36935,23
49.9713,2.94085,23
50.038,2.83761,16
50.1047,2.797,23
50.1715,2.36392,12
50.2382,2.84624,19
50.3049,2.16803,6
50.3717,3.13433,22
50.4384,3.92749,41
50.5051,2.71525,25
50.5719,3.52582,29
50.6386,3.51038,3
50.7053,3.4208,1
50.7721,3.95799,20
50.8388,3.44348,15
50.9055,2.44041,31
50.9723,4.57191,24
51.039,2.99239,92
51.1057,4.43328,84
51.1725,4.10301,137
51.2392,5.25967,152
51.3059,5.84248,57
51.3727,7.30685,90
51.4394,7.96076,92
51.5061,4.00259,12
51.5729,8.57785,70
51.6396,12.7313,122
51.7063,14.3406,62
51.7731,11.641,42
51.8398,12.3232,25
51.9065,16.7592,42
51.9733,13.3909,10
52.04,11.3182,10
52.1067,11.9206,29
52.1735,6.10164,4
52.2402,11.4611,41
52.3069,6.47751,13
52.3737,8.64889,34
52.4404,7.90367,15
52.5071,3.65032,2
52.5739,8.54663,44
52.6406,4.04092,18
52.7073,5.40583,32
52.7741,6.16637,31
52.8408,4.67761,24
52.9075,4.02343,10
52.9743,4.99063,5
53.041,4.05187,33
53.1077,3.11403,61
53.1745,2.15768,5
53.2412,3.18616,24
53.3079,2.99787,35
53.3747,2.25423,13
53.4414,2.15213,30
53.5081,3.67539,12
53.5749,4.56068,17
53.6416,4.58761,12
53.7083,3.34492,39
53.7751,2.22975,13
53.8418,2.78746,33
53.9085,2.86094,39
53.9753,3.24217,32
54.042,2.28753,17
54.1087,5.43476,31
54.1755,4.07108,37
54.2422,5.01497,26
54.3089,3.53506,22
54.3757,3.81102,17
54.4424,4.33675,9
54.5091,4.04466,25
54.5759,3.57413,12
54.6426,3.72931,15
54.7093,4.07269,24
54.7761,3.04854,35
54.8428,3.82127,47
54.9095,5.98167,23
54.9763,5.29024,43
55.043,5.65734,72
55.1097,7.1742,156
55.1765,7.19875,11
55.2432,7.78535,17
55.3099,6.18423,10
55.3767,3.90724,65
55.4434,2.53539,19
55.5101,0.80186,0
55.5769,3.1722,4
55.6436,3.98281,4
55.7103,4.62213,4
55.7771,3.12921,3
55.8438,2.24267,4
55.9105,5.75658,2
55.9773,5.2114,8
56.044,6.75229,8
56.1107,3.57317,16
56.1775,6.0451,13
56.2442,9.76111,21
56.3109,7.82741,20
56.3777,8.93581,63
56.4444,7.19326,21
56.5111,5.47167,12
56.5779,6.40295,5
56.6446,9.27155,39
56.7113,5.19421,7
56.7781,4.02893,21
56.8448,5.80484,22
56.9115,5.59012,18
56.9783,5.40433,14
57.045,3.45455,6
57.1117,3.93804,5
57.1785,5.62546,1
57.2452,2.64923,1
57.3119,2.64923,1
57.3787,0.109483,0
57.4454,4.05194,2
57.5121,5.811,11
57.5789,4.32481,18
57.6456,8.22927,1
57.7123,4.50388,15
57.7791,3.88569,12
57.8458,4.14622,3
57.9125,3.13178,23
57.9793,5.72759,6
58.046,3.4157,9
58.1127,3.96929,16
58.1795,3.23426,13
58.2462,2.88866,16
58.3129,3.58405,39
58.3797,3.16806,4
58.4464,3.16237,34
58.5131,3.34758,17
58.5799,2.97062,17
58.6466,2.14345,10
58.7133,2.79209,23
58.7801,3.62416,34
58.8468,2.74715,3
58.9135,1.84348,3
58.9803,4.02923,17
59.047,1.65013,4
59.1137,3.35574,22
59.1805,3.62836,17
59.2472,3.49717,42
59.3139,2.76816,27
59.3807,2.30096,18
59.4474,4.17166,19
59.5141,2.92113,56
59.5809,2.81356,75
59.6476,3.22628,31
59.7143,2.62786,31
59.7811,2.99911,12
59.8478,2.05009,5
59.9145,2.67545,18
59.9813,3.78272,17
60.048,2.76743,19
60.1147,3.17887,11
60.1815,3.75535,145
60.2482,3.31102,28
60.3149,3.77949,14
60.3817,2.88665,33
60.4484,3.34427,22
60.5151,3.79537,42
60.5819,3.85676,48
60.6486,8.09973,81
60.7153,7.06389,54
60.7821,7.15479,31
60.8488,10.4049,58
60.9155,9.54926,31
60.9823,11.8771,65
61.049,11.2418,36
61.1157,10.408,17
61.1825,9.72041,21
61.2492,7.3684,26
61.3159,6.29619,17
61.3827,8.52949,40
61.4494,4.0043,11
61.5161,3.94172,6
61.5829,0.978688,1
61.6496,3.98513,6
61.7163,4.64015,7
61.7831,5.27216,21
61.8498,3.26291,12
61.9165,6.29235,6
61.9833,3.36582,13
62.05,1.65391,5
62.1167,5.13951,4
62.1835,4.71975,13
62.2502,1.5675,1
62.3169,4.82447,15
62.3837,1.24886,7
62.4504,2.83461,49
62.5171,4.43713,4
62.5839,3.37224,16
62.6506,2.96386,27
62.7173,2.52078,21
62.7841,3.65024,18
62.8508,3.78739,4
62.9175,2.51914,3
62.9843,2.50976,11
63.051,0.614318,1
63.1177,3.77873,13
63.1845,1.1285,47
63.2512,1.80773,8
63.3179,2.86286,29
63.3847,3.09283,39
63.4514,2.98553,62
63.5181,2.78305,45
63.5849,3.07777,68
63.6516,4.67875,21
63.7183,4.53347,28
63.7851,3.74225,33
63.8518,2.69688,92
63.9185,2.33037,53
63.9853,3.13439,125
64.052,4.35475,75
64.1187,2.77296,52
64.1855,2.56304,126
64.2522,3.62564,66
64.3189,3.08284,6
64.3857,2.34088,39
64.4524,2.87225,32
64.5191,3.91654,48
64.5859,5.06247,2
64.6526,2.77626,26
64.7193,2.31991,7
64.7861,1.96749,67
64.8528,2.12615,23
64.9195,2.86673,21
64.9863,3.5209,27
65.053,2.68217,21
65.1197,2.06994,18
